15:03:16 | main | INFO | Starting TalkCraft AI Dashboard (Phase 3)
15:03:23 | llm_client | INFO | LLMClient initialized
15:03:25 | tts_engine | INFO | TTS engine initialized
15:03:25 | conversation_scorer | INFO | ConversationScorer initialized
15:03:25 | pipeline | INFO | ConversationPipeline initialized
15:05:27 | main | INFO | Starting TalkCraft AI Console Mode (Phase 3)
15:05:27 | llm_client | INFO | LLMClient initialized
15:05:27 | conversation_scorer | INFO | ConversationScorer initialized
15:06:24 | llm_client | INFO | LLMClient initialized
15:06:33 | main | INFO | Starting TalkCraft AI Console Mode (Phase 3)
15:06:34 | llm_client | INFO | LLMClient initialized
15:06:34 | conversation_scorer | INFO | ConversationScorer initialized
15:06:51 | main | INFO | Starting TalkCraft AI Server (Phase 3)
15:06:53 | llm_client | INFO | LLMClient initialized
15:06:53 | tts_engine | WARNING | pyttsx3 not installed, TTS disabled
15:06:53 | conversation_scorer | INFO | ConversationScorer initialized
15:06:53 | pipeline | INFO | ConversationPipeline initialized
15:06:53 | server | INFO | TalkCraft AI Server initialized
15:06:53 | server | INFO | Starting server on 0.0.0.0:8003
15:06:54 | server | INFO | Server broadcast loop started
15:06:54 | server | INFO | FastAPI server started
15:07:32 | main | INFO | Starting TalkCraft AI Dashboard (Phase 3)
15:07:32 | main | INFO | Launching: D:\New Vampire\Ex\notu\Scripts\python.exe -m streamlit run D:\New Vampire\Ex\talkcraft_ai\dashboard\app.py --server.port 8502 --server.headless true
15:21:41 | main | INFO | Starting TalkCraft AI Console Mode (Phase 3)
15:21:42 | llm_client | INFO | LLMClient initialized
15:21:42 | conversation_scorer | INFO | ConversationScorer initialized
15:22:18 | conversation_engine | INFO | Mode set to casual_conversation
15:22:18 | llm_client | ERROR | LLM request failed: 404 Client Error: Not Found for url: http://localhost:11434/v1/chat/completions
15:22:18 | conversation_engine | INFO | Conversation started — mode=casual_conversation, topic=Technology and innovation
15:23:23 | llm_client | ERROR | Streaming LLM request failed: 404 Client Error: Not Found for url: http://localhost:11434/v1/chat/completions
15:23:45 | llm_client | ERROR | Streaming LLM request failed: 404 Client Error: Not Found for url: http://localhost:11434/v1/chat/completions
15:23:49 | llm_client | ERROR | Streaming LLM request failed: 404 Client Error: Not Found for url: http://localhost:11434/v1/chat/completions
15:24:52 | conversation_engine | INFO | Conversation ended
15:25:01 | main | INFO | Starting TalkCraft AI Server (Phase 3)
15:25:04 | llm_client | INFO | LLMClient initialized
15:25:06 | tts_engine | INFO | TTS engine initialized
15:25:06 | conversation_scorer | INFO | ConversationScorer initialized
15:25:06 | pipeline | INFO | ConversationPipeline initialized
15:25:06 | server | INFO | TalkCraft AI Server initialized
15:25:06 | server | INFO | Starting server on 0.0.0.0:8002
15:25:06 | server | INFO | Server broadcast loop started
15:25:06 | server | INFO | FastAPI server started
17:37:09 | pipeline | INFO | Pipeline stopped
17:37:09 | server | INFO | Server stopped
14:51:45 | main | INFO | Starting TalkCraft AI Server (Phase 3)
14:51:51 | llm_client | INFO | LLMClient initialized
14:51:52 | tts_engine | INFO | TTS engine initialized
14:51:52 | conversation_scorer | INFO | ConversationScorer initialized
14:51:52 | pipeline | INFO | ConversationPipeline initialized
14:51:52 | server | INFO | TalkCraft AI Server initialized
14:51:52 | server | INFO | Starting server on 0.0.0.0:8002
14:51:53 | server | INFO | Server broadcast loop started
14:51:53 | server | INFO | FastAPI server started
15:05:19 | main | INFO | Starting TalkCraft AI Server (Phase 3)
15:05:31 | llm_client | INFO | LLMClient initialized
15:05:32 | tts_engine | INFO | TTS engine initialized
15:05:32 | conversation_scorer | INFO | ConversationScorer initialized
15:05:32 | pipeline | INFO | ConversationPipeline initialized
15:05:32 | server | INFO | TalkCraft AI Server initialized
15:05:32 | server | INFO | Starting server on 0.0.0.0:8002
15:05:32 | server | INFO | Server broadcast loop started
15:05:32 | server | INFO | FastAPI server started
15:05:32 | pipeline | INFO | Pipeline stopped
15:05:32 | server | INFO | Server stopped
15:09:10 | pipeline | INFO | Pipeline stopped
15:09:10 | server | INFO | Server stopped
14:40:32 | main | INFO | Starting TalkCraft AI Server (Phase 3)
14:40:35 | llm_client | INFO | LLMClient initialized
14:40:35 | tts_engine | WARNING | pyttsx3 not installed, TTS disabled
14:40:35 | conversation_scorer | INFO | ConversationScorer initialized
14:40:35 | pipeline | INFO | ConversationPipeline initialized
14:40:35 | server | INFO | TalkCraft AI Server initialized
14:40:35 | server | INFO | Starting server on 0.0.0.0:8002
14:40:36 | server | INFO | Server broadcast loop started
14:40:36 | server | INFO | FastAPI server started
15:16:55 | pipeline | INFO | Pipeline stopped
15:16:55 | server | INFO | Server stopped
